Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,number_established_years
food,12.857645184135976,low_fat,0.09246392,snack_foods,190.9504,out019,small,tier_1,grocery_store,383.5008,36
non-consumable,8.27,low_fat,0.018797945,health_and_hygiene,241.288,out013,high,tier_3,supermarket_type1,5512.824,34
food,13.65,low_fat,0.03595391,snack_foods,185.2924,out035,small,tier_2,supermarket_type1,3146.5708,17
food,15.6,low_fat,0.063081713,snack_foods,125.7704,out010,ultra_high,tier_3,grocery_store,250.3408,23
food,13.65,low_fat,0.066657791,frozen_foods,32.6558,out010,ultra_high,tier_3,grocery_store,67.9116,23
non-consumable,16.75,low_fat,0.07585337,health_and_hygiene,36.8532,out049,medium,tier_1,supermarket_type1,1150.5024,22
food,12.857645184135976,regular,0.087936752,fruits_and_vegetables,115.9466,out027,medium,tier_3,supermarket_type3,4124.631,36
food,10.395,low_fat,0.030281543,baking_goods,116.3176,out018,medium,tier_3,supermarket_type2,1259.6936,12
food,12.857645184135976,low_fat,0.01520491,snack_foods,197.2084,out027,medium,tier_3,supermarket_type3,4166.5764,36
food,7.76,low_fat,0.05930285,snack_foods,98.77,out013,high,tier_3,supermarket_type1,1697.79,34
food,20.75,low_fat,0.040421193,fruits_and_vegetables,122.173,out010,ultra_high,tier_3,grocery_store,369.519,23
food,15.1,regular,0.157154813,fruits_and_vegetables,62.2194,out010,ultra_high,tier_3,grocery_store,185.7582,23
food,12.35,regular,0.033813351,meat,198.1426,out049,medium,tier_1,supermarket_type1,3757.1094,22
food,8.75,regular,0.074778547,fruits_and_vegetables,186.3556,out045,ultra_high,tier_2,supermarket_type1,3567.3564,19
food,17.2,regular,0.012012071,canned,163.1184,out046,small,tier_1,supermarket_type1,4623.3152,24
food,20.75,Regular,0.083606565,frozen_foods,178.8318,out046,small,tier_1,supermarket_type1,3608.636,24
food,10.195,regular,0.146662938,frozen_foods,138.6838,out046,small,tier_1,supermarket_type1,2388.2246,24
food,8.365,regular,0.039811272,fruits_and_vegetables,191.3188,out013,high,tier_3,supermarket_type1,2285.0256,34
food,13.5,regular,0.067859568,dairy,60.1562,out035,small,tier_2,supermarket_type1,1599.9174,17
food,12.857645184135976,low_fat,0.135836915,canned,93.8094,out027,medium,tier_3,supermarket_type3,3237.1196,36
food,9.8,regular,0.056386541,breads,84.6908,out046,small,tier_1,supermarket_type1,503.3448,24
food,12.857645184135976,low_fat,0.03046847,starchy_foods,254.704,out027,medium,tier_3,supermarket_type3,3036.048,36
food,17.35,regular,0.041474232,frozen_foods,93.0804,out046,small,tier_1,supermarket_type1,826.9236,24
food,12.857645184135976,regular,0.061955439,frozen_foods,145.1418,out027,medium,tier_3,supermarket_type3,4561.3958,36
non-consumable,8.42,low_fat,0.070856383,household,217.4192,out018,medium,tier_3,supermarket_type2,431.4384,12
food,8.05,regular,0.164679597,dairy,112.1518,out046,small,tier_1,supermarket_type1,1252.3698,24
food,7.655,low_fat,0.031938828,canned,114.1492,out035,small,tier_2,supermarket_type1,1158.492,17
food,20.6,low_fat,0.083473583,baking_goods,120.8756,out017,ultra_high,tier_2,supermarket_type1,1211.756,14
food,20.85,low_fat,0.062606583,frozen_foods,192.2478,out010,ultra_high,tier_3,grocery_store,387.4956,23
food,12.857645184135976,low_fat,0.098629062,fruits_and_vegetables,90.6462,out027,medium,tier_3,supermarket_type3,2406.2012,36
food,14.85,regular,0.035227697,fruits_and_vegetables,159.5578,out013,high,tier_3,supermarket_type1,2085.9514,34
food,15.1,regular,0.0,fruits_and_vegetables,146.2786,out010,ultra_high,tier_3,grocery_store,433.4358,23
non-consumable,8.275,low_fat,0.110197977,household,104.2306,out013,high,tier_3,supermarket_type1,3658.571,34
food,11.0,regular,0.057011062,fruits_and_vegetables,241.9512,out013,high,tier_3,supermarket_type1,2908.2144,34
non-consumable,12.1,low_fat,0.01545846,household,166.0526,out049,medium,tier_1,supermarket_type1,3617.9572,22
food,10.895,low_fat,0.0358031,fruits_and_vegetables,130.3284,out049,medium,tier_1,supermarket_type1,2504.7396,22
food,13.3,regular,0.071597469,fruits_and_vegetables,60.8536,out045,ultra_high,tier_2,supermarket_type1,918.804,19
drinks,8.43,low_fat,0.017396308,soft_drinks,196.0768,out018,medium,tier_3,supermarket_type2,4138.6128,12
food,13.8,regular,0.064207277,fruits_and_vegetables,76.0012,out046,small,tier_1,supermarket_type1,1214.4192,24
food,12.857645184135976,low_fat,0.070912843,frozen_foods,121.5098,out027,medium,tier_3,supermarket_type3,2410.196,36
food,11.5,regular,0.041994624,frozen_foods,194.782,out035,small,tier_2,supermarket_type1,3475.476,17
food,19.2,low_fat,0.124301968,canned,89.7488,out045,ultra_high,tier_2,supermarket_type1,2082.6224,19
food,15.1,regular,0.067181098,snack_foods,258.8304,out049,medium,tier_1,supermarket_type1,5424.9384,22
food,12.857645184135976,low_fat,0.015944801,dairy,249.5092,out027,medium,tier_3,supermarket_type3,6474.2392,36
food,20.35,low_fat,0.060794097,baking_goods,233.6616,out049,medium,tier_1,supermarket_type1,2577.9776,22
food,12.857645184135976,regular,0.093463546,frozen_foods,189.1214,out027,medium,tier_3,supermarket_type3,2261.0568,36
food,13.0,regular,0.030083482,canned,61.922,out035,small,tier_2,supermarket_type1,1557.972,17
non-consumable,18.75,low_fat,0.01035692,household,208.3954,out013,high,tier_3,supermarket_type1,2709.1402,34
food,12.857645184135976,low_fat,0.064362554,fruits_and_vegetables,193.7794,out027,medium,tier_3,supermarket_type3,4876.985,36
food,15.85,low_fat,0.057313443,snack_foods,53.3956,out046,small,tier_1,supermarket_type1,1364.89,24
food,12.857645184135976,low_fat,0.086326707,snack_foods,192.6478,out019,small,tier_1,grocery_store,387.4956,36
food,12.857645184135976,low_fat,0.02110482,canned,217.0824,out027,medium,tier_3,supermarket_type3,6769.8544,36
food,19.75,low_fat,0.034027909,snack_foods,212.0902,out018,medium,tier_3,supermarket_type2,3185.853,12
non-consumable,7.39,low_fat,0.120258245,others,141.547,out035,small,tier_2,supermarket_type1,2290.352,17
food,20.7,regular,0.079419755,baking_goods,99.8042,out049,medium,tier_1,supermarket_type1,1488.063,22
food,18.35,regular,0.15783357,fruits_and_vegetables,87.5882,out010,ultra_high,tier_3,grocery_store,171.7764,23
food,17.5,low_fat,0.013714183,frozen_foods,259.2304,out017,ultra_high,tier_2,supermarket_type1,2841.6344,14
food,10.8,regular,0.0,baking_goods,39.3138,out013,high,tier_3,supermarket_type1,1015.345,34
non-consumable,11.5,low_fat,0.020960615,health_and_hygiene,133.2942,out013,high,tier_3,supermarket_type1,2649.884,34
food,7.435,low_fat,0.084436394,starchy_foods,168.6158,out035,small,tier_2,supermarket_type1,4512.1266,17
food,13.85,Regular,0.026001976,frozen_foods,161.521,out018,medium,tier_3,supermarket_type2,1794.331,12
drinks,9.395,low_fat,0.159582185,soft_drinks,224.772,out049,medium,tier_1,supermarket_type1,7017.532,22
food,8.905,lf,0.143129124,frozen_foods,58.8878,out046,small,tier_1,supermarket_type1,1151.1682,24
food,12.857645184135976,regular,0.106538757,fruits_and_vegetables,145.4786,out027,medium,tier_3,supermarket_type3,5779.144,36
food,19.7,regular,0.0,baking_goods,194.411,out049,medium,tier_1,supermarket_type1,5106.686,22
food,14.3,low_fat,0.123264522,dairy,123.273,out017,ultra_high,tier_2,supermarket_type1,1108.557,14
non-consumable,9.13,low_fat,0.051847425,household,152.8024,out046,small,tier_1,supermarket_type1,1214.4192,24
non-consumable,8.275,low_fat,0.110913601,household,106.3306,out017,ultra_high,tier_2,supermarket_type1,1254.3672,14
food,15.6,regular,0.105208448,snack_foods,170.5764,out013,high,tier_3,supermarket_type1,4466.1864,34
food,12.857645184135976,regular,0.039031927,snack_foods,95.641,out027,medium,tier_3,supermarket_type3,1737.738,36
food,12.857645184135976,low_fat,0.037345714,fruits_and_vegetables,106.5306,out019,small,tier_1,grocery_store,104.5306,36
drinks,5.73,low_fat,0.075943184,soft_drinks,85.5882,out010,ultra_high,tier_3,grocery_store,171.7764,23
non-consumable,12.65,low_fat,0.042175992,household,106.4938,out013,high,tier_3,supermarket_type1,2465.4574,34
food,6.215,regular,0.049580407,baking_goods,227.4062,out013,high,tier_3,supermarket_type1,5191.2426,34
non-consumable,20.5,low_fat,0.032819637,household,38.9822,out049,medium,tier_1,supermarket_type1,982.055,22
food,5.75,regular,0.075107656,dairy,112.8176,out013,high,tier_3,supermarket_type1,1374.2112,34
food,16.35,low_fat,0.113953562,fruits_and_vegetables,198.2426,out010,ultra_high,tier_3,grocery_store,790.9704,23
food,8.05,regular,0.07838564,fruits_and_vegetables,256.4646,out035,small,tier_2,supermarket_type1,5153.292,17
food,8.18,regular,0.082333019,frozen_foods,58.1588,out013,high,tier_3,supermarket_type1,343.5528,34
food,12.1,low_fat,0.020600553,snack_foods,147.5734,out049,medium,tier_1,supermarket_type1,3414.8882,22
food,13.5,regular,0.0,dairy,57.8562,out049,medium,tier_1,supermarket_type1,711.0744,22
food,5.19,low_fat,0.042861968,frozen_foods,196.811,out017,ultra_high,tier_2,supermarket_type1,3731.809,14
food,5.985,low_fat,0.005677876,baking_goods,184.8924,out045,ultra_high,tier_2,supermarket_type1,1665.8316,19
food,7.0,low_fat,0.152261999,canned,105.728,out017,ultra_high,tier_2,supermarket_type1,1278.336,14
food,5.735,low_fat,0.05695045,fruits_and_vegetables,177.937,out035,small,tier_2,supermarket_type1,1587.933,17
food,6.305,regular,0.123307177,snack_foods,93.5436,out049,medium,tier_1,supermarket_type1,283.6308,22
food,5.82,regular,0.077756427,fruits_and_vegetables,254.533,out017,ultra_high,tier_2,supermarket_type1,1281.665,14
food,18.35,low_fat,0.099090261,fruits_and_vegetables,94.0462,out035,small,tier_2,supermarket_type1,555.2772,17
food,12.85,low_fat,0.165694219,frozen_foods,39.7164,out010,ultra_high,tier_3,grocery_store,231.6984,23
food,12.857645184135976,low_fat,0.082152451,canned,179.9002,out027,medium,tier_3,supermarket_type3,4119.3046,36
food,16.2,regular,0.128682722,frozen_foods,178.437,out045,ultra_high,tier_2,supermarket_type1,1058.622,19
food,8.21,low_fat,0.044888397,dairy,87.3198,out013,high,tier_3,supermarket_type1,610.5386,34
food,14.65,low_fat,0.172357491,fruits_and_vegetables,50.8692,out017,ultra_high,tier_2,supermarket_type1,788.3072,14
food,17.35,low_fat,0.014721579,frozen_foods,73.1038,out045,ultra_high,tier_2,supermarket_type1,886.8456,19
non-consumable,7.5,low_fat,0.096806008,household,56.2588,out018,medium,tier_3,supermarket_type2,687.1056,12
food,11.5,low_fat,0.014921093,starchy_foods,173.908,out018,medium,tier_3,supermarket_type2,1211.756,12
food,16.7,low_fat,0.022110425,dairy,110.8886,out045,ultra_high,tier_2,supermarket_type1,3558.0352,19
food,11.8,Regular,0.07665661,snack_foods,32.3558,out013,high,tier_3,supermarket_type1,169.779,34
food,12.15,regular,0.058663727,fruits_and_vegetables,164.1552,out018,medium,tier_3,supermarket_type2,3249.104,12
food,17.7,regular,0.122065518,meat,103.3674,out049,medium,tier_1,supermarket_type1,2546.685,22
non-consumable,15.35,low_fat,0.035292855,household,124.573,out018,medium,tier_3,supermarket_type2,1601.249,12
non-consumable,7.475,low_fat,0.075845634,household,156.0656,out049,medium,tier_1,supermarket_type1,1853.5872,22
non-consumable,9.3,low_fat,0.044843161,household,246.1802,out018,medium,tier_3,supermarket_type2,2702.4822,12
food,10.3,low_fat,0.027292686,fruits_and_vegetables,101.2042,out013,high,tier_3,supermarket_type1,396.8168,34
food,6.695,low_fat,0.0,frozen_foods,219.4456,out046,small,tier_1,supermarket_type1,3094.6384,24
food,12.857645184135976,regular,0.008525061,meat,72.5038,out027,medium,tier_3,supermarket_type3,2512.7292,36
food,12.65,low_fat,0.0,meat,107.8938,out046,small,tier_1,supermarket_type1,750.3566,24
food,12.857645184135976,regular,0.02439015,breads,95.9068,out027,medium,tier_3,supermarket_type3,3207.8244,36
food,12.85,low_fat,0.033287541,fruits_and_vegetables,198.4768,out045,ultra_high,tier_2,supermarket_type1,1379.5376,19
food,16.7,low_fat,0.070297175,dairy,216.385,out045,ultra_high,tier_2,supermarket_type1,3678.545,19
food,12.857645184135976,lf,0.147663025,fruits_and_vegetables,106.028,out027,medium,tier_3,supermarket_type3,1810.976,36
food,19.1,low_fat,0.09688421,fruits_and_vegetables,233.5958,out049,medium,tier_1,supermarket_type1,2336.958,22
food,11.8,regular,0.077154417,snack_foods,35.7558,out017,ultra_high,tier_2,supermarket_type1,577.2486,14
food,6.59,low_fat,0.10550944,fruits_and_vegetables,85.6908,out013,high,tier_3,supermarket_type1,1929.4884,34
non-consumable,8.6,low_fat,0.090558833,household,112.6176,out018,medium,tier_3,supermarket_type2,3091.9752,12
food,16.7,Regular,0.091437584,starchy_foods,64.3168,out010,ultra_high,tier_3,grocery_store,127.8336,23
food,7.02,low_fat,0.08114883,fruits_and_vegetables,146.8734,out035,small,tier_2,supermarket_type1,3563.3616,17
food,10.5,regular,0.026424424,baking_goods,145.2128,out045,ultra_high,tier_2,supermarket_type1,3739.1328,19
food,15.35,low_fat,0.074601506,snack_foods,90.983,out035,small,tier_2,supermarket_type1,1348.245,17
non-consumable,18.2,lf,0.058799705,household,220.7456,out017,ultra_high,tier_2,supermarket_type1,4420.912,14
food,10.895,low_fat,0.027032204,frozen_foods,106.328,out017,ultra_high,tier_2,supermarket_type1,852.224,14
food,21.1,regular,0.16216286,fruits_and_vegetables,62.2168,out018,medium,tier_3,supermarket_type2,383.5008,12
food,20.5,low_fat,0.036346224,frozen_foods,72.9696,out035,small,tier_2,supermarket_type1,596.5568,17
food,15.5,regular,0.044024163,fruits_and_vegetables,102.0332,out010,ultra_high,tier_3,grocery_store,102.5332,23
food,6.425,low_fat,0.093454899,fruits_and_vegetables,175.3712,out046,small,tier_1,supermarket_type1,2988.1104,24
non-consumable,14.6,lf,0.0,others,242.3538,out035,small,tier_2,supermarket_type1,5287.7836,17
food,15.85,regular,0.110202066,frozen_foods,39.7506,out049,medium,tier_1,supermarket_type1,721.0614,22
drinks,8.27,regular,0.0,soft_drinks,183.2924,out017,ultra_high,tier_2,supermarket_type1,2406.2012,14
food,13.65,regular,0.025961116,snack_foods,80.4302,out049,medium,tier_1,supermarket_type1,316.9208,22
food,12.857645184135976,regular,0.014998914,meat,72.4038,out019,small,tier_1,grocery_store,221.7114,36
non-consumable,10.8,lf,0.041831008,health_and_hygiene,186.6214,out013,high,tier_3,supermarket_type1,2261.0568,34
food,6.11,regular,0.103340142,fruits_and_vegetables,131.2968,out018,medium,tier_3,supermarket_type2,913.4776,12
food,13.65,regular,0.012823829,snack_foods,55.5588,out017,ultra_high,tier_2,supermarket_type1,916.1408,14
food,12.3,regular,0.0,snack_foods,57.3562,out013,high,tier_3,supermarket_type1,177.7686,34
food,9.5,regular,0.035151215,fruits_and_vegetables,171.8448,out046,small,tier_1,supermarket_type1,2556.672,24
food,20.7,regular,0.04745185,dairy,214.6876,out013,high,tier_3,supermarket_type1,3001.4264,34
food,17.5,low_fat,0.052740763,snack_foods,103.799,out017,ultra_high,tier_2,supermarket_type1,1135.189,14
food,19.7,low_fat,0.066935459,snack_foods,177.537,out046,small,tier_1,supermarket_type1,3175.866,24
food,11.6,regular,0.009763021,snack_foods,226.2404,out046,small,tier_1,supermarket_type1,1800.3232,24
food,9.285,regular,0.021049215,snack_foods,161.0578,out045,ultra_high,tier_2,supermarket_type1,2406.867,19
food,10.6,Regular,0.033052168,breakfast,49.7008,out046,small,tier_1,supermarket_type1,961.4152,24
food,17.35,regular,0.027653795,canned,88.0856,out049,medium,tier_1,supermarket_type1,1318.284,22
food,7.075,low_fat,0.058437653,dairy,143.0128,out049,medium,tier_1,supermarket_type1,1150.5024,22
food,17.0,regular,0.026563851,canned,141.247,out035,small,tier_2,supermarket_type1,3292.381,17
non-consumable,12.857645184135976,low_fat,0.044591774,household,59.6562,out027,medium,tier_3,supermarket_type3,2192.4794,36
food,14.1,low_fat,0.089660816,canned,140.0496,out035,small,tier_2,supermarket_type1,1411.496,17
non-consumable,7.39,low_fat,0.092705683,household,251.9066,out013,high,tier_3,supermarket_type1,4267.1122,34
food,14.85,regular,0.035456465,fruits_and_vegetables,162.2578,out017,ultra_high,tier_2,supermarket_type1,3690.5294,14
food,6.55,regular,0.034800079,breads,157.5288,out017,ultra_high,tier_2,supermarket_type1,1571.288,14
food,6.44,low_fat,0.132590283,breads,98.17,out010,ultra_high,tier_3,grocery_store,199.74,23
food,8.895,low_fat,0.026397141,frozen_foods,207.8954,out045,ultra_high,tier_2,supermarket_type1,3542.7218,19
food,12.85,low_fat,0.033172957,snack_foods,172.0422,out035,small,tier_2,supermarket_type1,5345.7082,17
food,5.175,low_fat,0.037391881,canned,83.2224,out035,small,tier_2,supermarket_type1,1789.6704,17
food,11.5,low_fat,0.171050595,snack_foods,126.3704,out035,small,tier_2,supermarket_type1,3880.2824,17
food,20.25,regular,0.018805105,fruits_and_vegetables,220.6772,out046,small,tier_1,supermarket_type1,2223.772,24
food,15.1,low_fat,0.0,fruits_and_vegetables,216.4166,out045,ultra_high,tier_2,supermarket_type1,2830.3158,19
food,12.857645184135976,low_fat,0.0514111,breads,33.0558,out027,medium,tier_3,supermarket_type3,984.7182,36
food,7.31,low_fat,0.026830586,snack_foods,108.057,out049,medium,tier_1,supermarket_type1,2087.283,22
food,12.857645184135976,low_fat,0.025960174,snack_foods,214.885,out027,medium,tier_3,supermarket_type3,4976.855,36
non-consumable,12.857645184135976,low_fat,0.118099673,household,262.891,out027,medium,tier_3,supermarket_type3,5522.811,36
drinks,8.26,low_fat,0.057585723,hard_drinks,113.7834,out010,ultra_high,tier_3,grocery_store,115.1834,23
food,7.895,regular,0.061124626,breakfast,58.5588,out013,high,tier_3,supermarket_type1,171.7764,34
food,9.8,regular,0.063805139,fruits_and_vegetables,117.3492,out035,small,tier_2,supermarket_type1,810.9444,17
food,6.71,regular,0.029535852,baking_goods,67.5142,out013,high,tier_3,supermarket_type1,593.2278,34
drinks,7.02,low_fat,0.049942926,dairy,82.425,out049,medium,tier_1,supermarket_type1,1414.825,22
food,12.857645184135976,regular,0.0,canned,100.3674,out027,medium,tier_3,supermarket_type3,1833.6132,36
food,19.85,low_fat,0.044489064,dairy,89.4856,out035,small,tier_2,supermarket_type1,1054.6272,17
drinks,5.655,lf,0.175047104,soft_drinks,146.9102,out035,small,tier_2,supermarket_type1,1895.5326,17
food,9.8,regular,0.045258247,baking_goods,35.9874,out035,small,tier_2,supermarket_type1,282.2992,17
food,9.5,regular,0.022054553,meat,195.4452,out035,small,tier_2,supermarket_type1,4502.1396,17
food,12.857645184135976,regular,0.028871235,snack_foods,188.7898,out027,medium,tier_3,supermarket_type3,2057.9878,36
food,8.155,low_fat,0.119937231,meat,189.153,out018,medium,tier_3,supermarket_type2,2087.283,12
food,18.85,low_fat,0.036241797,meat,57.3562,out017,ultra_high,tier_2,supermarket_type1,1007.3554,14
food,10.195,regular,0.017627888,starchy_foods,239.6538,out035,small,tier_2,supermarket_type1,2403.538,17
food,8.315,Regular,0.035627489,baking_goods,146.6444,out049,medium,tier_1,supermarket_type1,870.8664,22
non-consumable,7.68,low_fat,0.152429537,health_and_hygiene,85.5224,out013,high,tier_3,supermarket_type1,1278.336,34
non-consumable,12.857645184135976,low_fat,0.03976832,others,83.9908,out027,medium,tier_3,supermarket_type3,2348.9424,36
non-consumable,19.0,low_fat,0.129309277,household,188.8872,out035,small,tier_2,supermarket_type1,3592.6568,17
food,6.785,regular,0.022970468,snack_foods,211.0928,out035,small,tier_2,supermarket_type1,4418.2488,17
food,15.15,regular,0.066551268,frozen_foods,144.676,out017,ultra_high,tier_2,supermarket_type1,3954.852,14
food,19.35,low_fat,0.016705436,frozen_foods,120.8098,out017,ultra_high,tier_2,supermarket_type1,3374.2744,14
non-consumable,6.59,low_fat,0.043828293,household,121.4098,out010,ultra_high,tier_3,grocery_store,241.0196,23
non-consumable,12.8,low_fat,0.091221855,others,105.5938,out045,ultra_high,tier_2,supermarket_type1,2143.876,19
food,15.35,low_fat,0.01404119,frozen_foods,38.419,out049,medium,tier_1,supermarket_type1,476.047,22
food,12.857645184135976,low_fat,0.062294473,snack_foods,242.417,out019,small,tier_1,grocery_store,486.034,36
drinks,6.03,low_fat,0.022796178,dairy,178.1028,out018,medium,tier_3,supermarket_type2,1416.8224,12
non-consumable,17.75,low_fat,0.097909084,health_and_hygiene,242.1196,out045,ultra_high,tier_2,supermarket_type1,4097.3332,19
food,17.35,low_fat,0.0,frozen_foods,72.2038,out017,ultra_high,tier_2,supermarket_type1,886.8456,14
non-consumable,9.695,low_fat,0.113939434,health_and_hygiene,160.2604,out046,small,tier_1,supermarket_type1,1901.5248,24
food,15.1,low_fat,0.0,snack_foods,197.211,out010,ultra_high,tier_3,grocery_store,196.411,23
food,17.7,low_fat,0.088305201,dairy,182.3292,out017,ultra_high,tier_2,supermarket_type1,4195.8716,14
food,5.405,regular,0.053730029,canned,199.0742,out045,ultra_high,tier_2,supermarket_type1,4777.7808,19
food,12.857645184135976,regular,0.032750291,snack_foods,112.1518,out027,medium,tier_3,supermarket_type3,5351.0346,36
food,15.7,regular,0.027594064,canned,171.179,out013,high,tier_3,supermarket_type1,1867.569,34
food,7.145,low_fat,0.017814518,frozen_foods,159.8578,out049,medium,tier_1,supermarket_type1,2246.4092,22
non-consumable,12.15,low_fat,0.079755214,health_and_hygiene,36.6506,out018,medium,tier_3,supermarket_type2,493.3578,12
non-consumable,7.285,low_fat,0.031327839,household,174.6054,out017,ultra_high,tier_2,supermarket_type1,2976.7918,14
food,12.857645184135976,regular,0.100277876,fruits_and_vegetables,196.8768,out027,medium,tier_3,supermarket_type3,7094.7648,36
food,17.0,regular,0.026622757,canned,144.247,out045,ultra_high,tier_2,supermarket_type1,3149.234,19
food,20.7,low_fat,0.169667145,canned,183.5266,out013,high,tier_3,supermarket_type1,4426.2384,34
food,6.75,regular,0.108148913,dairy,95.6752,out013,high,tier_3,supermarket_type1,958.752,34
food,20.6,low_fat,0.082935004,baking_goods,119.5756,out013,high,tier_3,supermarket_type1,2665.8632,34
food,12.857645184135976,regular,0.045243613,dairy,146.8102,out027,medium,tier_3,supermarket_type3,3499.4448,36
food,12.857645184135976,regular,0.116793684,snack_foods,41.0112,out019,small,tier_1,grocery_store,42.6112,36
drinks,14.7,low_fat,0.035016091,hard_drinks,144.3128,out010,ultra_high,tier_3,grocery_store,431.4384,23
food,19.35,low_fat,0.03322326,meat,172.0738,out018,medium,tier_3,supermarket_type2,3301.7022,12
food,14.3,regular,0.065195229,fruits_and_vegetables,88.9856,out035,small,tier_2,supermarket_type1,1669.8264,17
non-consumable,7.68,low_fat,0.255348289,health_and_hygiene,84.4224,out010,ultra_high,tier_3,grocery_store,170.4448,23
food,5.82,regular,0.077475884,fruits_and_vegetables,255.333,out045,ultra_high,tier_2,supermarket_type1,4870.327,19
food,8.235,low_fat,0.08259502,baking_goods,149.1076,out045,ultra_high,tier_2,supermarket_type1,1182.4608,19
food,12.857645184135976,regular,0.037962696,dairy,97.5726,out027,medium,tier_3,supermarket_type3,978.726,36
food,4.88,regular,0.133382115,baking_goods,55.0298,out013,high,tier_3,supermarket_type1,647.1576,34
non-consumable,18.2,low_fat,0.0,health_and_hygiene,44.1086,out045,ultra_high,tier_2,supermarket_type1,1115.215,19
food,16.7,regular,0.052368061,frozen_foods,112.7176,out013,high,tier_3,supermarket_type1,801.6232,34
food,17.5,low_fat,0.026195131,snack_foods,252.6356,out045,ultra_high,tier_2,supermarket_type1,2543.356,19
food,12.857645184135976,regular,0.133347119,dairy,193.0794,out019,small,tier_1,grocery_store,975.397,36
drinks,12.857645184135976,low_fat,0.278974075,soft_drinks,225.372,out019,small,tier_1,grocery_store,679.116,36
food,9.195,regular,0.204713036,fruits_and_vegetables,101.0016,out010,ultra_high,tier_3,grocery_store,202.4032,23
non-consumable,20.7,low_fat,0.039467795,household,151.7366,out017,ultra_high,tier_2,supermarket_type1,604.5464,14
food,20.5,low_fat,0.0,fruits_and_vegetables,90.883,out010,ultra_high,tier_3,grocery_store,89.883,23
food,7.52,regular,0.044091657,baking_goods,182.995,out049,medium,tier_1,supermarket_type1,3844.995,22
food,7.59,regular,0.145335007,fruits_and_vegetables,173.108,out045,ultra_high,tier_2,supermarket_type1,2077.296,19
food,13.65,regular,0.031508924,canned,98.77,out045,ultra_high,tier_2,supermarket_type1,1697.79,19
food,9.5,regular,0.010907967,snack_foods,182.3608,out013,high,tier_3,supermarket_type1,2940.1728,34
drinks,8.365,low_fat,0.071846495,hard_drinks,37.9506,out046,small,tier_1,supermarket_type1,569.259,24
drinks,12.1,low_fat,0.029827665,soft_drinks,144.3444,out049,medium,tier_1,supermarket_type1,2612.5992,22
non-consumable,5.5,low_fat,0.04709821,others,101.3016,out046,small,tier_1,supermarket_type1,3339.6528,24
food,12.857645184135976,low_fat,0.026552056,canned,56.2246,out027,medium,tier_3,supermarket_type3,1737.738,36
food,7.945,low_fat,0.01596609,snack_foods,163.521,out017,ultra_high,tier_2,supermarket_type1,1794.331,14
non-consumable,9.8,low_fat,0.090649107,others,194.3478,out045,ultra_high,tier_2,supermarket_type1,4649.9472,19
food,19.25,low_fat,0.102188428,dairy,54.3956,out018,medium,tier_3,supermarket_type2,1201.1032,12
food,17.7,low_fat,0.116542484,snack_foods,182.6266,out046,small,tier_1,supermarket_type1,3504.1054,24
non-consumable,8.895,lf,0.124967595,household,112.7544,out045,ultra_high,tier_2,supermarket_type1,3467.4864,19
food,14.85,regular,0.019495051,dairy,261.291,out013,high,tier_3,supermarket_type1,10256.649,34
food,12.857645184135976,regular,0.041370245,frozen_foods,46.2376,out027,medium,tier_3,supermarket_type3,814.9392,36
drinks,10.195,low_fat,0.0,hard_drinks,114.086,out046,small,tier_1,supermarket_type1,1810.976,24
food,7.5,low_fat,0.054610829,frozen_foods,237.1906,out010,ultra_high,tier_3,grocery_store,237.6906,23
food,10.1,regular,0.045950475,snack_foods,38.2848,out017,ultra_high,tier_2,supermarket_type1,1230.3984,14
food,12.15,regular,0.058516562,fruits_and_vegetables,164.1552,out049,medium,tier_1,supermarket_type1,5198.5664,22
food,15.15,regular,0.012332667,snack_foods,130.0284,out017,ultra_high,tier_2,supermarket_type1,3559.3668,14
non-consumable,17.0,low_fat,0.052209303,health_and_hygiene,122.373,out046,small,tier_1,supermarket_type1,2586.633,24
non-consumable,12.857645184135976,low_fat,0.015359722,household,163.7526,out027,medium,tier_3,supermarket_type3,1973.4312,36
food,7.075,low_fat,0.0,frozen_foods,98.0068,out018,medium,tier_3,supermarket_type2,874.8612,12
food,13.15,lf,0.022924552,fruits_and_vegetables,157.892,out017,ultra_high,tier_2,supermarket_type1,1917.504,14
non-consumable,19.2,low_fat,0.077628053,household,197.611,out049,medium,tier_1,supermarket_type1,3142.576,22
drinks,5.655,low_fat,0.0,soft_drinks,147.5102,out046,small,tier_1,supermarket_type1,1166.4816,24
food,12.857645184135976,regular,0.170382726,frozen_foods,45.2718,out019,small,tier_1,grocery_store,47.2718,36
food,9.8,low_fat,0.047260402,baking_goods,102.8016,out049,medium,tier_1,supermarket_type1,1922.8304,22
non-consumable,12.857645184135976,low_fat,0.030208465,health_and_hygiene,35.4874,out027,medium,tier_3,supermarket_type3,1693.7952,36
food,20.0,regular,0.10399676,canned,107.4622,out013,high,tier_3,supermarket_type1,1587.933,34
food,12.857645184135976,low_fat,0.081014461,baking_goods,98.8384,out019,small,tier_1,grocery_store,492.692,36
food,8.355,low_fat,0.187939003,canned,146.9418,out045,ultra_high,tier_2,supermarket_type1,1029.9926,19
